Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    111.40     0.00    35880     0.00     0.00  std::initializer_list<cvision::Detection>::begin() const
  0.00    111.40     0.00    35880     0.00     0.00  std::vector<cvision::Detection, std::allocator<cvision::Detection> >::capacity() const
  0.00    111.40     0.00    35880     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00    111.40     0.00    35880     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00    111.40     0.00    35880     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00    111.40     0.00    35880     0.00     0.00  void std::_Construct<cvision::Frame, cvision::Frame const&>(cvision::Frame*, cvision::Frame const&)
  0.00    111.40     0.00    35880     0.00     0.00  cvision::Detection const* std::__miter_base<cvision::Detection const*>(cvision::Detection const*)
  0.00    111.40     0.00    35880     0.00     0.00  cvision::Detection const* std::__niter_base<cvision::Detection const*>(cvision::Detection const*)
  0.00    111.40     0.00    35658     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_get_Tp_allocator()
  0.00    111.40     0.00    35067     0.00     0.00  std::__new_allocator<int>::deallocate(int*, unsigned long)
  0.00    111.40     0.00    34348     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00    111.40     0.00    33792     0.00     0.00  cvision::Detection* std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<cvision::Detection const*, cvision::Detection*>(cvision::Detection const*, cvision::Detection const*, cvision::Detection*)
  0.00    111.40     0.00    33792     0.00     0.00  cvision::Detection* std::__copy_move_a1<false, cvision::Detection const*, cvision::Detection*>(cvision::Detection const*, cvision::Detection const*, cvision::Detection*)
  0.00    111.40     0.00    33792     0.00     0.00  cvision::Detection* std::__copy_move_a2<false, cvision::Detection const*, cvision::Detection*>(cvision::Detection const*, cvision::Detection const*, cvision::Detection*)
