Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     15.13     0.00    35976     0.00     0.00  std::vector<cvision::Detection, std::allocator<cvision::Detection> >::vector(std::vector<cvision::Detection, std::allocator<cvision::Detection> > const&)
  0.00     15.13     0.00    35884     0.00     0.00  cv::_InputArray::_InputArray()
  0.00     15.13     0.00    35884     0.00     0.00  cv::_OutputArray::~_OutputArray()
  0.00     15.13     0.00    35883     0.00     0.00  cv::Vec<double, 4>::Vec()
  0.00     15.13     0.00    35883     0.00     0.00  cv::Matx<double, 4, 1>::Matx()
  0.00     15.13     0.00    35882     0.00     0.00  bool __gnu_cxx::operator!=<cvision::Frame const*, std::vector<cvision::Frame, std::allocator<cvision::Frame> > >(__gnu_cxx::__normal_iterator<cvision::Frame const*, std::vector<cvision::Frame, std::allocator<cvision::Frame> > > const&, __gnu_cxx::__normal_iterator<cvision::Frame const*, std::vector<cvision::Frame, std::allocator<cvision::Frame> > > const&)
  0.00     15.13     0.00    35880     0.00     0.00  cv::Scalar_<double>::Scalar_()
  0.00     15.13     0.00    35880     0.00     0.00  __gnu_cxx::__normal_iterator<cvision::Frame const*, std::vector<cvision::Frame, std::allocator<cvision::Frame> > >::operator++()
  0.00     15.13     0.00    35880     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::__normal_iterator(cv::Mat* const&)
  0.00     15.13     0.00    35880     0.00     0.00  bool __gnu_cxx::operator!=<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >(__gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > > const&, __gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > > const&)
  0.00     15.13     0.00    35880     0.00     0.00  cv::MatSize::operator[](int) const
  0.00     15.13     0.00    35880     0.00     0.00  __gnu_cxx::__normal_iterator<cvision::Frame const*, std::vector<cvision::Frame, std::allocator<cvision::Frame> > >::operator*() const
  0.00     15.13     0.00    35880     0.00     0.00  std::initializer_list<cvision::Detection>::begin() const
  0.00     15.13     0.00    35880     0.00     0.00  std::vector<cvision::Detection, std::allocator<cvision::Detection> >::capacity() const
  0.00     15.13     0.00    35880     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00     15.13     0.00    35880     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00     15.13     0.00    35880     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00     15.13     0.00    35880     0.00     0.00  void std::_Construct<cvision::Frame, cvision::Frame const&>(cvision::Frame*, cvision::Frame const&)
  0.00     15.13     0.00    35880     0.00     0.00  cvision::Detection const* std::__miter_base<cvision::Detection const*>(cvision::Detection const*)
  0.00     15.13     0.00    35880     0.00     0.00  cvision::Detection const* std::__niter_base<cvision::Detection const*>(cvision::Detection const*)
  0.00     15.13     0.00    35658     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_get_Tp_allocator()
  0.00     15.13     0.00    35067     0.00     0.00  std::__new_allocator<int>::deallocate(int*, unsigned long)
  0.00     15.13     0.00    34348     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00     15.13     0.00    33792     0.00     0.00  cvision::Detection* std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<cvision::Detection const*, cvision::Detection*>(cvision::Detection const*, cvision::Detection const*, cvision::Detection*)
  0.00     15.13     0.00    33792     0.00     0.00  cvision::Detection* std::__copy_move_a1<false, cvision::Detection const*, cvision::Detection*>(cvision::Detection const*, cvision::Detection const*, cvision::Detection*)
  0.00     15.13     0.00    33792     0.00     0.00  cvision::Detection* std::__copy_move_a2<false, cvision::Detection const*, cvision::Detection*>(cvision::Detection const*, cvision::Detection const*, cvision::Detection*)
  0.00     15.13     0.00    31704     0.00     0.00  __gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > > std::__miter_base<__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > > >(__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >)
  0.00     15.13     0.00    31704     0.00     0.00  cvision::Detection const* std::__niter_base<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >(__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >)
  0.00     15.13     0.00    31704     0.00     0.00  cvision::Detection* std::__niter_base<cvision::Detection*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >(__gnu_cxx::__normal_iterator<cvision::Detection*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >)
  0.00     15.13     0.00    31368     0.00     0.00  cvision::Detection* std::__niter_base<cvision::Detection*>(cvision::Detection*)
  0.00     15.13     0.00    31110     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00     15.13     0.00    31110     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00     15.13     0.00    29005     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const
  0.00     15.13     0.00    28943     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_deallocate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long)
  0.00     15.13     0.00    28645     0.00     0.00  bool __gnu_cxx::operator!=<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00     15.13     0.00    28172     0.00     0.00  std::vector<cv::Rect_<int>, std::allocator<cv::Rect_<int> > >::end()
  0.00     15.13     0.00    27514     0.00     0.00  std::_Vector_base<cv::Rect_<int>, std::allocator<cv::Rect_<int> > >::_M_deallocate(cv::Rect_<int>*, unsigned long)
  0.00     15.13     0.00    27514     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned long)
  0.00     15.13     0.00    27514     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00     15.13     0.00    26576     0.00     0.00  void std::__relocate_object_a<cv::Rect_<int>, cv::Rect_<int>, std::allocator<cv::Rect_<int> > >(cv::Rect_<int>*, cv::Rect_<int>*, std::allocator<cv::Rect_<int> >&)
  0.00     15.13     0.00    26018     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::__normal_iterator(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* const&)
  0.00     15.13     0.00    24593     0.00     0.00  std::__new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::deallocate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long)
  0.00     15.13     0.00    24529     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00     15.13     0.00    24279     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00     15.13     0.00    24279     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
